"Input","Target"
" which films can be described by william faulkner","	The Big Sleep, To Have and Have Not, The Long, Hot Summer, As I Lay Dying, Land of the Pharaohs, The Reivers, Intruder in the Dust, The Story of Temple Drake, The Sound and the Fury, Slave Ship"
" which movies are about remake of a french film","	Dinner for Schmucks, Dangerous Liaisons, Wicker Park, Under Suspicion, Just Visiting"
" what movies can be described with extremely creative","	Across the Universe"
" which movies can be described by star-crossed lovers","	Leaving Las Vegas, Pierrot le Fou, Dolls, A Midnight Clear, Pépé le Moko"
" which films are about boyfriend girlfriend relationship","	Requiem for a Dream, The Woodsman, Clip"
" which movies are about joe dante","	Gremlins, Small Soldiers, The 'Burbs, Innerspace, The Howling, The Hole, Explorers, Piranha, The Second Civil War"
" what movies can be described by national lampoon","	Road Trip, Animal House, National Lampoon's Vacation, Loaded Weapon 1, National Lampoon Presents Dorm Daze, National Lampoon's Senior Trip, Blackball, Going the Distance, National Lampoon's Gold Diggers"
" which films can be described by bright red hair","	Eternal Sunshine of the Spotless Mind, The Fifth Element, Run Lola Run, Cherry 2000"
" what movies can be described with couldn't bear to watch it all","	Riddick, Neighbors"
" which films can be described by mini coopers","	The Italian Job"
" what films can be described by devastating","	Up, 9, The Vanishing"
" what movies can be described by rose mcgowan","	Scream, Planet Terror, Fifty Dead Men Walking"
" what movies can be described with unbiased","	W."
" what movies are about seal","	Captain Phillips, Tears of the Sun"
" what movies can be described by goofy","	Amélie, Fargo, Monty Python and the Holy Grail, The Mask, There's Something About Mary, The Dictator, Zoolander, 2 Fast 2 Furious, Airplane!, Spaceballs, The Cable Guy, Daybreakers, Raising Arizona, Blazing Saddles, Big Trouble in Little China, Kingpin, ¡Three Amigos!, Night Watch, Hudson Hawk, Weekend at Bernie's, Don't Be a Menace to South Central While Drinking Your Juice in the Hood, Down by Law, A Goofy Movie, Love and Death, Wet Hot American Summer, The Fearless Vampire Killers, UHF, Mystery Train, Dead Men Don't Wear Plaid, Pink Flamingos, My Blue Heaven, Ernest Goes to Camp, Ernest Scared Stupid, Support Your Local Sheriff!, Big Deal on Madonna Street, Fist of the North Star, Tromeo and Juliet, Dracula A.D. 1972, Cosi"
" what movies are about technology","	The Matrix, The Avengers, Avatar, Iron Man, Prometheus, Minority Report, I, Robot, Oblivion, Moon, Law Abiding Citizen, Gattaca, Office Space, Surrogates, The Abyss, Hollow Man, Johnny Mnemonic, The Cove, Sleeper, The Lawnmower Man, The Brave Little Toaster, Appleseed, Flash of Genius, Side by Side, Sleep Dealer, The Pixar Story, Downloaded"
" which movies are about glasses","	Cloudy with a Chance of Meatballs, The Ninth Gate, Shine, The Man Next Door"
" what movies can be described with mature","	The Godfather, Old School, Persepolis, Whisper of the Heart, The Mother"
" what films are about amy poehler","	Mean Girls, Blades of Glory, Baby Mama, Envy, Free Birds"
" what films are about w.s. van dyke","	The Thin Man, After the Thin Man, Tarzan the Ape Man, Another Thin Man, San Francisco, Shadow of the Thin Man, The Prisoner of Zenda, Northwest Passage, Manhattan Melodrama, Marie Antoinette, I Love You Again, It's a Wonderful World, Naughty Marietta, Penthouse, Journey for Margaret, White Shadows in the South Seas, Guilty Hands, Hide-Out"
" what films can be described by caricatured","	Vicky Cristina Barcelona, A Time to Kill, Frequency"
" what movies can be described by yiddish","	A Serious Man"
" which movies are about 80's music","	The Wedding Singer, Ladyhawke, A Chorus Line"
" what movies are about weather forecaster","	Cloudy with a Chance of Meatballs, L.A. Story"
" which films are about dj","	It's All Gone Pete Tong"
" which films are about tedious","	Forrest Gump, Eyes Wide Shut, Jack Reacher, Melancholia, Dan in Real Life, Paranormal Activity 2, In the Valley of Elah, Anatomy of a Murder, Untraceable, The Brown Bunny"
" what films are about """"""the hunter""""""","	Payback, Parker, Point Blank"
" which movies are about paedophilia","	American Beauty, Mystic River, Hard Candy, The Woodsman, Under Suspicion, The Boys of St. Vincent"
" what movies are about great sound","	Scott Pilgrim vs. the World, In the City of Sylvia"
" what films are about antonio banderas","	Shrek 2, Philadelphia, Desperado, The Mask of Zorro, Once Upon a Time in Mexico, Puss in Boots, The 13th Warrior, The Expendables 3, The Skin I Live In, Spy Kids, Four Rooms, The Legend of Zorro, Assassins, Frida, Original Sin, You Will Meet a Tall Dark Stranger, Evita, Femme Fatale, Thick as Thieves, Take the Lead, Tie Me Up! Tie Me Down!, The House of the Spirits, Bordertown, Matador"
" what films can be described by central america","	The Mosquito Coast, Romero"
" which films are about william powell","	The Thin Man, My Man Godfrey, After the Thin Man, Another Thin Man, One Way Passage, I Love You Again, Love Crazy, Double Wedding"
" which films are about rating very dependent on version","	Spirited Away, The Descent, The Abyss, The Brown Bunny, Dumplings"
" which movies are about miklós jancsó","	The Red and the White, The Round-Up, Red Psalm"
" what films are about elsa lanchester","	The Big Clock"
" what films can be described by gross-out","	Minority Report, American Pie, Meet the Parents, The Dictator, Scary Movie, Airplane!, Zack and Miri Make a Porno, Bad Santa, Kingpin"
" which movies are about gregg araki","	Mysterious Skin, Smiley Face, Nowhere"
" which films can be described by zaz","	Airplane!, Hot Shots!, Hot Shots! Part Deux, Top Secret!, The Kentucky Fried Movie, High School High"
" what movies can be described with thought provoking","	Fight Club, Memento, Shutter Island, Limitless, Cast Away, I, Robot, Citizen Kane, The Book of Eli, The Grey, Blue Valentine, Mr. Nobody, Never Let Me Go, Idiocracy, Doubt, Capote, Boyz n the Hood, Stay, Judgment at Nuremberg, The Best Years of Our Lives, Six Degrees of Separation, Meet John Doe"
" what films can be described by african atrocities","	Hotel Rwanda, The Interpreter"
" which films can be described by low key","	Everything Must Go, Thief, Night Moves"
" what movies are about anti-religion","	Wanted, Paul, The Golden Compass, Simon of the Desert"
" which films can be described by cheesy soundtrack","	Win Win"
" what movies can be described with profound","	The Shawshank Redemption, The Apartment, The Room, Harakiri, The Gospel According to St. Matthew, The Wind"
" what films are about tribal","	Braveheart, The Last Samurai, Hotel Rwanda, Apocalypto, Dances with Wolves, The Last of the Mohicans, Highlander, Rob Roy, The Sleeping Dictionary, Himalaya"
" which movies are about oscar","	Django Unchained, American Beauty, The Wolf of Wall Street, Silver Linings Playbook, The Incredibles, The Reader, A Separation, Erin Brockovich, The Hours, Driving Miss Daisy"
" what movies can be described by protagonist is a computer programmer","	The Social Network"
" what movies can be described with oscar wilde","	The Importance of Being Earnest, An Ideal Husband, Wilde, The Canterville Ghost, Dorian Gray"
" what films can be described by detective","	The Silence of the Lambs, L.A. Confidential, Saw, Zodiac, Insomnia, Gone Baby Gone, Beverly Hills Cop, The Bone Collector, Dial M for Murder, Brick, Broken Flowers, U.S. Marshals, A Walk Among the Tombstones, I Heart Huckabees, Kiss the Girls, In the Heat of the Night, Copycat, Rising Sun, The Great Mouse Detective, Sea of Love, 12 Rounds, The Thin Man, Under Suspicion, Alphaville, The Killers, Don't Come Knocking, Black Widow, The Seven-Per-Cent Solution, No Way to Treat a Lady, The Kiss of Evil, The Living Ghost"
" what movies can be described with simulated reality","	The Matrix, The Truman Show, The Thirteenth Floor"
" which movies can be described by miscarriage of justice","	12 Angry Men, The Girl Who Played with Fire, The Girl Who Kicked the Hornets' Nest, Down by Law, The Lady from Shanghai, Hangmen Also Die!"
" what movies are about michael mcgowan","	One Week, Saint Ralph, Still Mine"
" which movies can be described by art school","	Cashback, Art School Confidential"
" which movies can be described by gael garcía bernal","	Y Tu Mamá También, The Motorcycle Diaries, The Science of Sleep"
" what films can be described by rollerderby","	Whip It, Rollerball"
" which films are about better than the book","	Harry Potter and the Prisoner of Azkaban, Twilight, Harry Potter and the Half-Blood Prince, Starship Troopers, Hannibal, Howl's Moving Castle, The Innocents"
" which movies are about good ending","	The Shawshank Redemption, Django Unchained, Prometheus, American Gangster, In Bruges, The Cabin in the Woods, The Lives of Others, The Mist, Jack Reacher, End of Watch, The Next Three Days, Michael Clayton, The Ghost Writer, The Omen, Videodrome, The Legend of Bagger Vance, Waltz with Bashir, The Rainmaker, Forbidden Planet, Impostor, All-Star Superman"
" which films can be described by not good","	What Lies Beneath, No Way Out"
" which films can be described by christopher smith","	Triangle, Black Death"
" what movies can be described by na","	The Untouchables, Empire of the Sun, Before the Devil Knows You're Dead, The Legend of 1900, Chungking Express, This Boy's Life, King of New York, Thumbsucker, Knockin' on Heaven's Door, School Ties, Lean on Me, Bat*21, Saint Ralph, Backbeat, Robinson Crusoe"
" what movies can be described with jesus christ","	The Passion of the Christ, The Last Temptation of Christ, Choke, Jesus Christ Superstar, The Turin Horse, The Gospel According to St. Matthew, The Greatest Story Ever Told, The God Who Wasn't There, King of Kings, The King of Kings"
" what movies can be described by flooded sets","	Titanic, The Day After Tomorrow, Daylight"
" which films are about onesided","	American History X"
" what movies can be described by nick cave and the bad seeds","	Wings of Desire"
" what movies can be described by tour de france","	The Triplets of Belleville"
" which films are about trauma","	Copycat, Cake, Tony Takitani"
" what films can be described by lon chaney jr.","	The Wolf Man, Casanova's Big Night, Weird Woman, Calling Dr. Death, The Frozen Ghost, Pillow of Death"
" what movies can be described with viegla jauka filmiÅ†a","	Stardust, Definitely, Maybe, Step Up, It's Complicated"
" what movies are about clothing","	The Great Gatsby, Zoolander"
" what films are about dana andrews","	The Best Years of Our Lives, Laura, Ball of Fire"
" which movies can be described by white collar crime","	Office Space, Margin Call, Boiler Room"
" which movies can be described by ark of the covenant","	Raiders of the Lost Ark"
" what movies can be described by sam raimi","	Spider-Man, Spider-Man 2, Spider-Man 3, Oz the Great and Powerful, Drag Me to Hell, The Evil Dead, Army of Darkness, Evil Dead II, The Quick and the Dead, The Gift, A Simple Plan, Darkman, For Love of the Game, Crimewave"
" which movies can be described by cannibals","	Serenity, Hannibal, The Texas Chain Saw Massacre, Dawn of the Dead, Delicatessen, Doomsday, Cannibal Holocaust, The People Under the Stairs, We Are What We Are, Cannibal Ferox, Eaten Alive!"
" what films are about poorly acted","	Forrest Gump, Mysterious Skin"
" what movies can be described with spaceship","	Alien, Armageddon, Predator 2"
" what movies can be described by graham greene","	The Third Man, Maverick, The Quiet American, The End of the Affair, Thunderheart"
" which films can be described by competition","	Harry Potter and the Goblet of Fire, Pacific Rim, Despicable Me, Monsters University, Caddyshack, Foxcatcher, Ip Man 2, BASEketball, Best in Show, Employee of the Month, Bad Words, The Karate Kid, Part III, It's a Mad, Mad, Mad World, Promised Land, Blue Crush, Children of Heaven, Strictly Ballroom, The Quest, Butter, Brassed Off, Art School Confidential, Akeelah and the Bee, House Party, Bee Season, Roll Bounce, The Manhattan Project, The Crash Reel, Wordplay, Mad Hot Ballroom, Creator, Midnight Madness"
" what movies can be described by godzilla universe","	Godzilla, Godzilla 2000, King Kong vs. Godzilla, Godzilla 1985, Godzilla vs. Mechagodzilla, Godzilla vs. King Ghidorah, Godzilla vs. Destoroyah, Godzilla vs. Megalon, Godzilla vs. Biollante, Invasion of Astro-Monster, Destroy All Monsters, Ghidorah, the Three-Headed Monster, Godzilla Raids Again, Godzilla vs. the Sea Monster, Godzilla vs. Mechagodzilla II, Godzilla vs. Gigan, Terror of Mechagodzilla, Son of Godzilla, Mothra, Godzilla vs. Megaguirus, The War of the Gargantuas, King Kong Escapes, Frankenstein Conquers the World, Rebirth of Mothra"
" what movies can be described by extrasensory visual capacity","	The Crow, Eragon, Catwoman, The Eye"
" what movies are about cult of persona","	Mad Max Beyond Thunderdome, Perfect Blue"
" what movies can be described by ostensibly for kids but: chock full o' prejudice:sexism & ageism","	The Emperor's New Groove"
" which movies are about flick","	The Da Vinci Code, The Terminal, Moulin Rouge!, Panic Room, Blade, You've Got Mail, Legally Blonde, My Best Friend's Wedding, Runaway Bride"
" what movies are about half-assed productions","	Doom"
" what films are about oscar (best screenplay)","	Pulp Fiction, The Hurt Locker, The Lavender Hill Mob, Tender Mercies, The Informer"
" which films can be described by francis ford coppola","	The Godfather, Apocalypse Now, Dracula, The Conversation, The Outsiders, Jack, The Rainmaker, Peggy Sue Got Married, Rumble Fish, Supernova, New York Stories, The Cotton Club, Youth Without Youth, Dementia 13, Gardens of Stone, One from the Heart, Captain EO, Finian's Rainbow, You're a Big Boy Now"
" which movies are about lisa cholodenko","	The Kids Are All Right, Laurel Canyon, High Art"
" which films are about my computer","	Drive, Real Steel, Kung Fu Panda 2, Melancholia, Brotherhood of the Wolf, Everything Is Illuminated, Frozen River, The Way, Grand Theft Parsons"
" which films can be described by john mcclane","	Die Hard, A Good Day to Die Hard"
" what movies can be described with very sad","	Click, The English Patient, My Sister's Keeper, Sophie's Choice"
" which films can be described by painting","	The Grand Budapest Hotel, Wedding Crashers, RocknRolla, Headhunters, The Thomas Crown Affair, Kiki's Delivery Service, Frida, Girl with a Pearl Earring, Andrei Rublev, Gaslight, Art School Confidential, Room in Rome, The Picture of Dorian Gray, Cutie and the Boxer, Age of Consent, Night Gallery"
" what films are about g.w. bailey","	Police Academy"
" what films can be described by realistic dialogue","	Adventureland, Like Crazy"
" which movies are about coping with loss","	We Bought a Zoo, The Way"
" what films are about genre:western noir","	Unforgiven, Serenity, High Noon, High Plains Drifter, Winchester '73, Johnny Guitar, The Naked Spur, The Gunfighter, The Man from Laramie, Man of the West, Pursued"
" what movies are about poor effects","	The Exorcist, Lost in Space"
" what movies are about space travel","	Interstellar, Alien, Star Trek, Aliens, Prometheus, Star Trek Into Darkness, Despicable Me, Armageddon, Serenity, Total Recall, Gattaca, Contact, Sunshine, Planet of the Apes, The Hitchhiker's Guide to the Galaxy, Spaceballs, Pandorum, Event Horizon, Iron Sky, Moonraker, Mission to Mars, Titan A.E., Apollo 18, 2010, Barbarella, A Grand Day Out, The Black Hole, Dark Star, Capricorn One, Cargo, Space Battleship Yamato, The Reluctant Astronaut, The X from Outer Space"
" which movies can be described by ugly woman","	The Girl with the Dragon Tattoo, Fatal Attraction"
" which films are about meryl streep","	The Devil Wears Prada, The Deer Hunter, Lemony Snicket's A Series of Unfortunate Events, Mamma Mia!, Fantastic Mr. Fox, Manhattan, The Hours, Doubt, Kramer vs. Kramer, The Manchurian Candidate, The Queen, The Iron Lady, Into the Woods, It's Complicated, The Giver, The Bridges of Madison County, Out of Africa, Prime, The River Wild, Sophie's Choice, A Prairie Home Companion, Marvin's Room, The House of the Spirits, Silkwood, Defending Your Life, Evening, Postcards from the Edge, Music of the Heart, One True Thing, The French Lieutenant's Woman, To the Arctic 3D"
" which movies are about patrick swayze","	Donnie Darko, Ghost, Dirty Dancing, Point Break, The Outsiders, Red Dawn, Keeping Mum, Powder Blue"
" which movies are about tom skerritt","	Ted, Top Gun, The Other Sister"
" which films can be described by carol kane","	License to Drive, Flashback, Hester Street"
" which movies are about house","	The Others, The Orphanage, The Grudge, Monster House, House of Sand and Fog, You're Next, 8 Women, Gaslight, Mon Oncle, The Servant, Born to Raise Hell, The Apple"
" which movies can be described by arnold cgi","	Terminator Salvation"
" what movies can be described with green lantern","	Green Lantern"
" which films are about more mature leo decaprio","	Blood Diamond, The Aviator"
" which movies can be described by so bad it's awesome","	Independence Day, Starship Troopers"
" what movies can be described by terrible characters","	Snow White and the Seven Dwarfs, Push"
" which films are about rage","	Hulk, The Sword of Doom"
" what movies are about existential","	Blade Runner, Into the Wild, Little Miss Sunshine, Magnolia, Hugo, The Graduate, Run Lola Run, Leaving Las Vegas, Synecdoche, New York, Waking Life, Still Alice, The Wages of Fear, Drugstore Cowboy, Get Carter, L'Avventura, The Passenger, The Incredible Shrinking Man, Performance"
" which films are about paz vega","	Spanglish, 10 Items or Less"
" what films can be described by king vidor","	The Fountainhead, Stella Dallas, Northwest Passage, The Champ, The Patsy, Beyond the Forest, The Citadel, Street Scene, Our Daily Bread, Wild Oranges, The Stranger's Return"
" which movies are about ben kingsley","	Schindler's List, Shutter Island, Iron Man 3, Lucky Number Slevin, Hugo, Gandhi, Species, House of Sand and Fog, Sneakers, Transsiberian, Sexy Beast, The Wackness, Oliver Twist, Searching for Bobby Fischer, Stonehearst Asylum, Elegy, The Assignment, Without a Clue, The Tale of Sweeney Todd"
" what movies are about great screenplay","	The Avengers, 12 Angry Men, Date Night"
" what movies can be described with debra messing","	Along Came Polly, The Mothman Prophecies, Open Season, The Wedding Date, Hollywood Ending, The Women, McHale's Navy"
" what movies can be described with metal","	The Iron Giant, Tenacious D in The Pick of Destiny, The Gate, Heavy Metal in Baghdad"
" what movies can be described with kate winslet","	Titanic, Eternal Sunshine of the Spotless Mind, The Reader, Contagion, Finding Neverland, The Holiday, Revolutionary Road, Little Children, Carnage, The Life of David Gale, Flushed Away, Sense and Sensibility, Heavenly Creatures, Quills, Labor Day, All the King's Men, Enigma, Iris"
" what films can be described by subversion","	Fight Club"
" which films are about globetrotting","	World War Z, Condorman"
" what films can be described by david graf","	Police Academy"
" what movies can be described with tv-g","	An Affair to Remember, You Can't Take It With You, Yankee Doodle Dandy"
" what movies can be described by kenneth branagh","	Thor, Harry Potter and the Chamber of Secrets, Valkyrie, Wild Wild West, My Week with Marilyn, The Road to El Dorado, Much Ado About Nothing, Hamlet, Rabbit-Proof Fence, Henry V, Dead Again, Conspiracy, Love's Labour's Lost, Anne Frank Remembered"
" which movies can be described by moustapha akkad","	Lion of the Desert"
" which films can be described by ruben fleischer","	Zombieland, Gangster Squad, 30 Minutes or Less"
" what films are about prententiously obscure","	Eraserhead"
" which movies can be described by based on a tv series","	The Simpsons Movie"
" what films can be described by iko uwais","	The Raid 2"
" what films can be described by exchange student","	Sixteen Candles, Son of Rambow"
" what movies can be described with schmaltzy","	The Shawshank Redemption, Forrest Gump, Eternal Sunshine of the Spotless Mind, Dead Poets Society, The Bucket List, August Rush, Frequency, Patch Adams, West Side Story, Salmon Fishing in the Yemen"
" what movies can be described by emily watson","	Equilibrium, Red Dragon, Corpse Bride, Breaking the Waves, Hilary and Jackie, Cold Souls, The Luzhin Defence"
" what movies are about souls","	9, Don't Tempt Me"
" what films are about abuse","	Sucker Punch, Fifty Shades of Grey, Pay It Forward, Short Term 12, Dead Man's Shoes, Once Were Warriors, An American Crime, Tyrannosaur, The Magdalene Sisters, The Corporation, The History Boys, The Quiet, The Class, Scum, Saraband, Lights in the Dusk, Everlasting Moments, The Seven-Per-Cent Solution, Joe the King"
" what films are about christian slater","	True Romance, The Name of the Rose, Broken Arrow, Heathers, Bobby, 3000 Miles to Graceland, Murder in the First, He Was a Quiet Man, The Contender, Pump Up the Volume, Untamed Heart, Gleaming the Cube, Julian Po"
" what films can be described by not a war movie.","	Jarhead"
" what films can be described by martin campbell","	Casino Royale, Green Lantern, The Mask of Zorro"
" which films can be described by raul julia","	Addams Family Values, Presumed Innocent, Romero, The Escape Artist"
" what movies are about brothel","	Ride the High Country, Salaam Bombay!, Zatoichi's Revenge"
" which films are about unnecessary nudity","	Shutter Island, 300, Kingdom of Heaven, Hell Ride"
" what movies are about richard ayoade","	Submarine, The Double"
" what movies can be described by mikko niskanen","	The Boys"
" which films are about octavia spencer","	The Help"
" which movies are about dog killing","	I Am Legend, Cloud Atlas, Paul, Mars Attacks!, John Wick, First Blood, Secret Window, The Hills Have Eyes, Evil Dead, Attack the Block, A Nightmare on Elm Street, The Darkest Hour, Carriers, Ginger Snaps, Joe, V/H/S/2, The Apparition, Antibodies, Resolution, The Wall"
" which films can be described by jacques demy","	The Umbrellas of Cherbourg, The Young Girls of Rochefort, Lola, Donkey Skin, Bay of Angels, Une chambre en ville"
" which movies are about grieving","	The Fountain, In America, Mr. Magorium's Wonder Emporium, Raising Helen, My Life as a Dog, Grace Is Gone, Mostly Martha, The Love of Siam"
" what films are about disco","	The Full Monty, Mystery Men, Dreamgirls, Saturday Night Fever, The Adventures of Priscilla, Queen of the Desert, Prom Night, Car Wash"
" what movies can be described by tamra davis","	Billy Madison, CB4"
" what movies can be described by genetics","	District 9, Jurassic Park, Blade Runner, X-Men, Rise of the Planet of the Apes, Dawn of the Planet of the Apes, The Island, Gattaca, Hulk, Æon Flux, Daybreakers, The 6th Day, Splice, Black Sheep"
" what movies are about inspiration for life","	The Fountain, Awakenings, The Boy Who Could Fly"
" what movies can be described by engineers in training","	October Sky"
" which movies are about don't remember","	Memento, The Green Mile, Braveheart, Scarface, Monty Python and the Holy Grail, The Butterfly Effect, Meet the Parents, Almost Famous, Air Force One, The Abyss, Frequency, Runaway Bride, Superman II, On Her Majesty's Secret Service, Mercury Rising, The Peacemaker, The Golden Child, The Guns of Navarone, Message in a Bottle, The Hidden Fortress, Medicine Man, The Flight of the Phoenix, Force 10 from Navarone, Lucas, Smokey and the Bandit II, Amazon Women on the Moon, The Maltese Falcon"
" what movies are about alcatraz","	The Rock, Escape from Alcatraz, Murder in the First, Rise of the Zombies"
" what movies can be described by dumb science","	Lucy"
" what movies can be described with michel deville","	Dossier 51"
" what movies are about virus outbreak","	Rise of the Planet of the Apes, Antiviral"
" what films can be described by fran drescher","	UHF, The Beautician and the Beast, The Hollywood Knights"
" what films are about miranda july","	Me and You and Everyone We Know"
" which movies can be described by ari","	Citizen Kane, Jerry Maguire, Glengarry Glen Ross, Dead Man Walking, Sling Blade, The Ice Storm"
" which movies are about gong li","	Miami Vice, Raise the Red Lantern, Farewell My Concubine"
" what movies are about oscar (best costume design)","	Gladiator, Moulin Rouge!, Sabrina"
" which films can be described by nerdy","	Kick-Ass, The Princess Bride, American Splendor"
" which films are about busom buddy with a volleyball","	Cast Away"
" which films can be described by too slow","	Schindler's List, The Hurt Locker, King Kong, Pandorum, Ran, In the Mood for Love, Solaris, Message in a Bottle, The Wind Will Carry Us, Assassination Tango"
" which films can be described by uav","	Body of Lies"
" which movies are about czechoslovak new wave","	Daisies, Valerie and Her Week of Wonders"
" what films are about asif kapadia","	Senna, The Warrior"
" what movies are about computer crimes","	Untraceable"
" which movies can be described by dream sequence","	Shutter Island, I Am Legend, Vertigo, Kung Fu Panda 2, Brazil, Battle Royale, Rosemary's Baby, One Hour Photo, Midnight Cowboy, The Kid, Kikujiro, The Bear, Vampyr, The Place Promised in Our Early Days, Fatso"
" which films are about puerto rico","	GoldenEye, Contact, The Rum Diary, Under Suspicion"
" which films are about don knotts","	Pleasantville, The Ghost and Mr. Chicken, The Apple Dumpling Gang, The Shakiest Gun in the West, The Reluctant Astronaut"
" which films can be described by mark steven johnson","	Ghost Rider, Daredevil, Simon Birch"
" which movies can be described by joão césar monteiro","	Recollections of the Yellow House"
" which films are about forgettable","	Forrest Gump, Gangs of New York, Wedding Crashers, 50/50, Cinema Paradiso, One Day, The Princess and the Frog, Bride Wars, The Haunting, Quiz Show, Love Happens, Knockaround Guys, Revenge, Tin Men, Sidewalks of New York, The Sky Crawlers, The Winning Season, Unforgettable, Destination Tokyo, The Hunters, Black Dragons, His Private Secretary"
" which movies are about inane","	Prometheus, Kick-Ass, Groundhog Day, Rat Race, Nacho Libre, Up in Smoke, Powder, Baby Geniuses, Cracks"
" what films are about homelist1","	Gladiator, Batman Begins, The Fifth Element, The Last Samurai, The Rock"
" which movies can be described by homestuck","	Armageddon, Con Air, Weekend at Bernie's"
" which movies are about thermopylae","	300"
" what movies can be described by nonsense","	Bridesmaids, Dinner for Schmucks, Howard the Duck, 12, Were the World Mine"
" which movies are about news","	Bruce Almighty, Nightcrawler"
" which films are about good concept","	Source Code, Bruce Almighty, Pitch Black, Crank, Van Helsing, The Invention of Lying, Blindness, Laura, Unknown, Dreamscape"
" what movies can be described by julien temple","	The Secret Policeman's Other Ball"
" what movies can be described by hong kong","	Hotel Rwanda, Rush Hour, Contagion, Rush Hour 2, Tomorrow Never Dies, Kung Fu Hustle, Infernal Affairs, Enter the Dragon, You Only Live Twice, In the Mood for Love, Ip Man 2, Hard Boiled, The Killer, Chungking Express, Rumble in the Bronx, The Medallion, The Art of War, Police Story, Fallen Angels, The Promise, Twin Dragons, Election, Naked Weapon, Dragon Tiger Gate, The God of Cookery, Vengeance, Chinese Box, Wing Chun, Forbidden City Cop, Eye in the Sky, Beyond Hypothermia"
" which movies are about jason eisener","	Hobo with a Shotgun, V/H/S/2"
" what films are about andy tennant","	Hitch, Fools Rush In, It Takes Two"
" what movies are about l.a.","	Magnolia, Cellular, In a Lonely Place"
" what movies can be described by slow moving","	Fargo, Event Horizon, Premonition"
" which movies can be described by vietnam war veteran","	Taxi Driver, First Blood, Nick of Time, Deadly Prey"
" which movies can be described by kindergarten","	Toy Story 3, The Hunt, Gentlemen of Fortune"
" what movies can be described with mental","	Forrest Gump, Punch-Drunk Love, Elling"
" what films can be described by marlon wayans","	Requiem for a Dream"
" which movies can be described by quakers","	Munich, High Noon, Friendly Persuasion"
" what films can be described by so sad","	Million Dollar Baby, Shane"
" what films are about lea thompson","	Back to the Future, Back to the Future Part II, Back to the Future Part III, Howard the Duck"
" what movies can be described by cute boys","	The Lost Boys, School Ties, Death in Venice, Summer Storm, Teen Beach Movie, The Adventures of Food Boy"
" what films can be described by couldn't finish","	Alexander, Dead Man Walking"
" which films are about mouse","	The Green Mile, Ratatouille, The Royal Tenenbaums, The Hitchhiker's Guide to the Galaxy, Stuart Little, The Rescuers, The Great Mouse Detective, The Secret of NIMH, Never Cry Wolf"
" what films are about andy kaufman","	Man on the Moon"
" which movies can be described by earnest protagonist","	Our Idiot Brother"
" what movies can be described with jennifer tilly","	Monsters, Inc., Bound, Seed of Chucky"
" which movies are about street fighting","	The Quest, Any Which Way You Can"
" which movies are about unconventional friendship","	Scent of a Woman, The Fall"
" what movies are about stop looking at me swan","	Billy Madison"
" what movies can be described with to see: werewolf","	Brotherhood of the Wolf, An American Werewolf in Paris, Silver Bullet"
" which films can be described by the decalogue series","	A Short Film About Love, A Short Film About Killing"
" what movies can be described with felix van groeningen","	The Broken Circle Breakdown, The Misfortunates"
" what movies can be described with iron man","	The Avengers, Iron Man, Iron Man 3, Iron Man 2"
" which films can be described by argentina","	Starship Troopers, The Secret in Their Eyes, The Motorcycle Diaries, Nine Queens, Evita, Happy Together, Son of the Bride, Carancho, The German Doctor, Apartment Zero, Man Facing Southeast, Lost Embrace, Kamchatka, The Man Next Door, The Tango Lesson, Family Law, Scream of Stone, Camila"
" which films are about shirtless men","	The Avengers, 300, Hercules in New York, Robot Monster"
" what movies can be described by con men","	The Usual Suspects, Catch Me If You Can, Lock, Stock and Two Smoking Barrels, Ocean's Eleven, The Italian Job, The Sting, Matchstick Men, Maverick, Nine Queens, Paper Moon, The Grifters, The Spanish Prisoner, House of Games"
" which films are about robert zemeckis","	Forrest Gump, Back to the Future, Cast Away, Back to the Future Part II, Flight, Back to the Future Part III, Contact, Beowulf, Who Framed Roger Rabbit, What Lies Beneath, Death Becomes Her, Romancing the Stone"
" what movies can be described by clean","	Here Comes the Boom, The Lady Eve, The Nutty Professor, Lt. Robin Crusoe, U.S.N."
" what movies can be described by steve whitmire","	The Muppet Christmas Carol, Muppet Treasure Island"
" which movies can be described by wonderfully warm and amusing","	Mr. Smith Goes to Washington, Bringing Up Baby, Breaking Away"
" what films are about wierd for the sake of it","	Antichrist"
" which movies are about heather matarazzo","	Welcome to the Dollhouse"
" what films can be described by andy serkis","	The Prestige, Rise of the Planet of the Apes, King Kong, Dawn of the Planet of the Apes, The Adventures of Tintin, Flushed Away, Inkheart"
" what movies can be described by charlotte bronte","	Jane Eyre, I Walked with a Zombie"
" which films are about irony","	Pulp Fiction, Battleship, Annie Hall, Syriana, Dead Man, I Heart Huckabees, Salò, or the 120 Days of Sodom"
" which films can be described by waif-fu","	Kick-Ass, Death Proof, The Golden Child"
" what movies can be described by eye-opening","	The Wolf of Wall Street, City of God"
